dem_file,geographic_tile,split,region,quality_role,patches_per_dem,latitude_deg,longitude_deg,source,expected_bytes,sha256,download_url
ALPSMLC30_N027E085_DSM.tif,N27E085,train,himalaya_nepal,secondary_alos,24,27,85,ALOS_AW3D30,25949185,5296f9099a2f83d24952e1215ac5a2d7e2ef67fe5ba48cd6d509ee05b836076b,
Copernicus_DSM_COG_10_N27_00_E084_00_DEM.tif,N27E084,train,himalaya_nepal_west,primary_copernicus,24,27,84,Copernicus_GLO30_2021,45336691,66ae02e02fff0bcc1455717c1a5d6199c5ad3d00f96a1a94c10b74f3301d122a,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_N27_00_E084_00_DEM/Copernicus_DSM_COG_10_N27_00_E084_00_DEM.tif
Copernicus_DSM_COG_10_N28_00_E083_00_DEM.tif,N28E083,train,himalaya_nepal_west,primary_copernicus,24,28,83,Copernicus_GLO30_2021,42265817,964c1708a96bd8437de439b5eaf6e659eda85f6b70a3563de5fbd02d1fdf9bbe,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_N28_00_E083_00_DEM/Copernicus_DSM_COG_10_N28_00_E083_00_DEM.tif
Copernicus_DSM_COG_10_N28_00_E086_00_DEM.tif,N28E086,train,himalaya_everest,primary_copernicus,24,28,86,Copernicus_GLO30_2021,38212170,c13a224161a9fb9de14ea259a9f5dfa3c9d39f975c78c53b87e497c04b3c4b9c,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_N28_00_E086_00_DEM/Copernicus_DSM_COG_10_N28_00_E086_00_DEM.tif
ALPSMLC30_N027E086_DSM.tif,N27E086,train,himalaya_nepal,secondary_alos,12,27,86,ALOS_AW3D30,25949185,9406f6f64bf677c8860188fcb099ca0953c1b0b27b170c9b4e046de97f124ec9,
ALPSMLC30_N027E087_DSM.tif,N27E087,train,himalaya_nepal_east,secondary_alos,12,27,87,ALOS_AW3D30,25949185,f7fef385ac57196271e9d51d6b105d46a0ef0555e186e99d980cb8cb051b423c,
ALPSMLC30_N028E085_DSM.tif,N28E085,train,himalaya_nepal,secondary_alos,12,28,85,ALOS_AW3D30,25949185,3fb87eae255940bb8ca90de5bc1d48f70e292e0c9d3ac87ceb2f67b597176895,
ALPSMLC30_N028E087_DSM.tif,N28E087,train,himalaya_nepal_east,secondary_alos,12,28,87,ALOS_AW3D30,25949185,40a8072f5c2a36ec04e0d0a1aa37709352cc622dadc36122fc091d092fa9268a,
ASTGTMV003_N29E102_dem.tif,N29E102,train,hengduan_sichuan,robustness_high_num,6,29,102,ASTER_GDEM_V3,33530284,ca7ffca5c34b22f8cda721532addbd84205e0acfdbf5669809b2077ecda97a3a,
ASTGTMV003_N30E102_dem.tif,N30E102,train,hengduan_sichuan,robustness_high_num,6,30,102,ASTER_GDEM_V3,34245370,4daed98ff8db6f5690812230fe0c0263b3a452a13c7f74ebe9b0492efb83abd0,
